"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W1","ETEC",5638,0.0655,0.0118,0.0059,0.0662,0.0113,0.0078,0.143,0.0302,0.0108,0.0182,0.0115,0.0087
"W1","ETEC",5640,0.0404,0.0204,0.0131,0.054,0.0123,0.0152,0.0185,0.0357,0.028,0.1073,0.0297,0.1195
"W1","ETEC",5641,0.0089,0.0274,0.0177,0.0451,0.0146,0.0145,0.2287,0.0383,0.0171,0.0034,0.0097,0.006
"W1","ETEC",5642,0.0205,0.0148,0.0085,0.0138,0.0114,0.0064,0.0836,0.0165,0.0091,0.0255,0.0123,0.0064
"W1","ETEC",5680,0.0902,0.0177,0.0185,0.0607,0.0222,0.0171,0.0983,0.0465,0.0278,0.1902,0.0972,0.024
"W1","ETEC",5682,0.0396,0.0231,0.009,0.0902,0.0356,0.0168,0.1117,0.0504,0.026,0.0158,0.0097,0.0131
"W1","ETEC",5686,0.0369,0.0332,0.0111,0.0673,0.0245,0.0172,0.0749,0.0851,0.0304,0.0148,0.0292,0.0825
"W1","ETEC",5687,0.0083,0.0423,0.0099,0.0075,0.0141,0.0072,0.0773,0.046,0.0195,0.0036,0.0073,0.0096
"W1","ETEC",5688,0.0288,0.0209,0.0181,0.0434,0.0405,0.0286,0.0465,0.0344,0.0107,0.0055,0.0192,0.0056
"W1","ETEC",5689,0.0243,0.0197,0.0061,0.0308,0.0232,0.015,0.039,0.0379,0.0128,0.0076,0.01,0.0126
"W1","ETEC",5690,0.0546,0.0397,0.0118,0.0387,0.0447,0.0153,0.0679,0.0325,0.0181,0.0037,0.0109,0.0161
"W1","ETEC",5691,0.029,0.0261,0.0068,0.0318,0.0299,0.009,0.0421,0.0323,0.0172,0.0567,0.0121,0.0721
"W1","ETEC",5692,0.0108,0.0165,0.0044,0.021,0.0134,0.0069,0.0573,0.0327,0.0192,0.0024,0.0065,0.0068
"W1","EPEC",5207,0.0279,0.0247,0.012,0.028,0.0225,0.0424,0.1298,0.0207,0.0233,0.2368,0.2741,0.0301
"W1","EPEC",5208,0.0148,0.0123,0.0071,0.0165,0.0175,0.0094,0.0281,0.0188,0.0116,0,0.3905,0.0428
"W1","EPEC",5209,0.0161,0.0138,0.0067,0.0178,0.0103,0.0094,0.0317,0.017,0.0174,0.3355,0.4364,0.0439
"W1","EPEC",5210,0.0257,0.0178,0.0105,0.0359,0.012,0.0075,0.0334,0.0239,0.0131,-5e-04,0.0069,0.0196
"W1","EPEC",5211,0.0384,0.0333,0.0179,0.0499,0.0195,0.0225,0.0168,0.0379,0.0148,0.0275,0.0528,0.0075
"W1","EPEC",5212,0.0802,0.0723,0.0244,0.1263,0.0916,0.035,0.0751,0.0808,0.0332,0.1952,0.0548,0.0323
"W1","EPEC",5263,0.0207,0.0349,0.0074,0.0191,0.0269,0.0081,0.0302,0.0244,0.0124,0.0088,0.0096,0.0096
"W1","EPEC",5267,0.0178,0.0215,0.0056,0.0447,0.0306,0.0117,0.0423,0.028,0.0152,0.0086,0.0102,0.0044
"W1","EPEC",5268,0.0238,0.0261,0.0062,0.0063,0.0156,0.0066,0.0458,0.0285,0.0132,0.0287,0.0318,0.0422
"W1","EPEC",5281,0.0175,0.0412,0.0169,0.0325,0.032,0.0184,0.031,0.0458,0.0203,0.0266,0.0671,0.0325
"W1","EPEC",5282,0.04,0.0171,0.0058,0.0241,0.0191,0.0083,0.0422,0.0402,0.0252,0.0614,0.0912,0.043
"W1","EPEC",5285,0.0239,0.019,0.0124,0.0227,0.0246,0.0088,0.0251,0.0205,0.0159,0.0347,0.0527,0.0244
"W1","EPEC",5289,0.0049,0.0213,0.0058,0.017,0.0274,0.0054,0.0204,0.0241,0.0103,0.0086,0.1472,0.0603
"W1","EPEC",5291,0.1068,0.0622,0.0213,0.0461,0.0198,0.0123,0.0492,0.0336,0.0125,0.031,0.1134,0.0043
"W1","EPEC",5292,0.0095,0.0203,0.0112,0.0265,0.0152,0.0168,0.0413,0.0158,0.0114,0.0791,0.0507,0.0405
"W1","EPEC",5631,0.0045,0.0143,0.0064,0.0175,0.0157,0.0076,0.0329,0.0247,0.0101,0.0128,0.0401,0.0454
"W1","EPEC",5632,0.0365,0.068,0.0426,0.1242,0.1461,0.0846,0.0485,0.0276,0.0084,0.0728,0.0271,0.0414
"W1","EPEC",5633,0.006,0.0245,0.0081,0.0262,0.0257,0.0084,0.0353,0.031,0.0101,0.0022,0.0582,0.0117
"W1","EPEC",5651,0.0046,0.0191,0.0082,0.0059,0.0183,0.0078,0.0475,0.0361,0.0143,0.0247,0.0148,0.0078
"W1","EPEC",5652,0.0227,0.0105,0.0083,0.0144,0.0158,0.0068,0.0238,0.0225,0.0097,0.0111,0.0065,0.0037
"W1","EPEC",5653,0.0215,0.0302,0.0127,0.0195,0.0119,0.0132,0.0215,0.0331,0.0162,0.0115,0.0424,0.0296
"W1","EPEC",5654,0.0144,0.018,0.0073,0.0318,0.0314,0.0147,0.0249,0.0332,0.0143,0.0141,0.0074,0.007
"W1","EPEC",5655,0.0145,0.0102,0.0069,0.015,0.0134,0.0117,0.0278,0.0205,0.0077,0.0128,0.0412,0.0945
"W1","EPEC",5656,0.0083,0.0102,0.0046,0.0068,0.0111,0.0043,0.0232,0.0161,0.0072,0.0081,0.0037,0.0033
"W1","EAEC",5213,0.114,0.0553,0.0826,0.1034,0.0582,0.0422,0.1752,0.0585,0.0427,0.0063,0.0093,0.0067
"W1","EAEC",5214,0.1279,0.0903,0.1012,0.1952,0.1323,0.0474,0.4094,0.1853,0.2879,0.02,0.0192,0.0105
"W1","EAEC",5215,0.1044,0.053,0.0092,0.1582,0.036,0.0094,0.1113,0.0598,0.0197,0.0047,0.057,0.0067
"W1","EAEC",5216,0.0628,0.0174,0.01,0.1478,0.0215,0.0115,0.1395,0.039,0.023,0.0203,0.0146,0.0128
"W1","EAEC",5260,0.1333,0.1107,0.0535,0.1078,0.1498,0.0854,0.1538,0.0615,0.0175,0.007,0.0135,0.0064
"W1","EAEC",5264,0.1095,0.0357,0.053,0.1597,0.0628,0.1494,0.2255,0.1019,0.0673,0.0401,0.0401,0.0243
"W1","EAEC",5265,0.0812,0.0749,0.0177,0.123,0.0966,0.0338,0.1252,0.089,0.0767,0.0919,0.1053,0.0091
"W1","EAEC",5266,0.1113,0.0463,0.076,0.1597,0.0848,0.0535,0.203,0.461,0.1916,0.0246,0.0273,0.0141
"W1","EAEC",5269,0.0399,0.0289,0.1088,0.0348,0.0134,0.0332,0.2252,0.0709,0.0836,0.0098,0.0072,0.0082
"W1","EAEC",5270,0.1612,0.0355,0.0659,0.2555,0.0805,0.0447,0.159,0.0616,0.0464,0.0696,0.0403,0.0081
"W1","EAEC",5271,0.1772,0.071,0.0139,0.2395,0.1155,0.0208,0.2042,0.051,0.0291,0.0188,0.0307,0.0189
"W1","EAEC",5272,0.2739,0.0993,0.1064,0.2045,0.0736,0.098,0.1962,0.0743,0.0968,0.0211,0.0083,0.0049
"W1","EAEC",5275,0.1233,0.0401,0.0107,0.1805,0.0866,0.0288,0.1827,0.0532,0.0254,0.0112,0.0336,0.0067
"W1","EAEC",5276,0.0673,0.0356,0.0128,0.1629,0.0706,0.0687,0.1561,0.0582,0.0438,0.0125,0.0044,0.0058
"W1","EAEC",5277,0.1729,0.0449,0.07,0.1271,0.0395,0.0484,0.2586,0.2386,0.1183,0.0274,0.0152,0.0107
"W1","EAEC",5278,0.1409,0.0388,0.0735,0.2226,0.0776,0.0552,0.1329,0.1394,0.1194,0.0178,0.0138,0.0069
"W1","EAEC",5279,0.1387,0.0674,0.0724,0.155,0.0886,0.0454,0.3442,0.394,0.0578,0.0369,0.0199,0.0109
"W1","EAEC",5280,0.0097,0.1037,0.1902,0.235,0.1445,0.0499,0.1913,0.3333,0.1008,0.0171,0.0042,0.0082
"W1","EAEC",5634,0.1393,0.036,0.0069,0.112,0.0165,0.01,0.3024,0.0986,0.0276,0.0117,0.0186,0.0116
"W1","EAEC",5635,0.0301,0.0562,0.0144,0.0327,0.0477,0.0074,0.0509,0.0977,0.0102,0.0543,0.0265,0.018
"W1","EAEC",5636,0.0801,0.0364,0.0489,0.1017,0.1944,0.0249,0.0784,0.2706,0.018,0.052,0.0135,0.0061
"W1","EAEC",5639,0.2475,0.1595,0.088,0.2812,0.2528,0.0709,0.0566,0.065,0.0275,0.0437,0.0319,0.022
"W1","EAEC",5643,0.0515,0.0481,0.0105,0.0599,0.0292,0.0185,0.1135,0.0719,0.0229,0.1282,0.105,0.1557
"W1","EAEC",5644,0.0884,0.112,0.0501,0.0653,0.0964,0.037,0.2006,0.3702,0.0851,0.0197,0.0447,0.0122
"W1","SAEC",5147,0.0156,0.0154,0.0067,0.0082,0.0095,0.007,0.0121,0.0226,0.0152,0.0028,0.0052,0.0032
"W1","SAEC",5148,0.0406,0.059,0.0127,0.0323,0.0467,0.0215,0.0441,0.1037,0.0201,0.0498,0.1142,0.0121
"W1","SAEC",5149,0.0081,0.0072,0.0054,0.0081,0.0064,0.0059,0.0186,0.0106,0.0225,0.005,0.0135,0.0044
"W1","SAEC",5150,0.0453,0.1527,0.0544,0.0391,0.0661,0.0547,0.0432,0.0634,0.0378,0.0488,0.0166,0.0113
"W1","SAEC",5151,0.0289,0.0289,0.0124,0.0348,0.0348,0.0156,0.0398,0.0398,0.0211,0.0225,0.0225,0.0077
"W1","SAEC",5152,0.0115,0.0115,0.0049,0.0147,0.0147,0.0077,0.0243,0.0243,0.0118,0.0583,0.0583,0.0134
"W1","SAEC",5153,0.108,0.108,0.0468,0.0985,0.0985,0.0383,0.1221,0.1221,0.0291,0.0364,0.0364,0.0069
"W1","SAEC",5155,0.0565,0.0565,0.0375,0.0556,0.0556,0.0383,0.0449,0.0449,0.0238,0.0197,0.0197,0.0062
"W1","SAEC",5156,0.0311,0.06,0.0124,0.0602,0.0867,0.0209,0.0399,0.0507,0.0248,0.0532,0.0117,0.0303
"W1","SAEC",5157,0.0487,0.0564,0.0167,0.0322,0.0257,0.0242,0.0545,0.0525,0.0175,0.0257,0.0359,0.0063
"W1","SAEC",5158,0.0487,0.082,0.0397,0.0663,0.1054,0.0507,0.0667,0.0859,0.0277,0.0317,0.0301,0.0167
"W1","SAEC",5159,0.0507,0.0333,0.0174,0.0564,0.0272,0.0239,0.0422,0.033,0.02,0.0345,0.0866,0.0411
"W1","SAEC",5160,0.1471,0.0895,0.0623,0.1242,0.0682,0.0515,0.1127,0.0599,0.0257,0.0242,0.0613,0.0411
"W1","SAEC",5161,0.055,0.0433,0.0433,0.0623,0.0503,0.0383,0.0971,0.0574,0.023,0.0186,0.0715,0.0059
"W1","SAEC",5162,0.007,0.0347,0.0417,0.0476,0.0674,0.0328,0.0702,0.0356,0.0401,0.023,0.0416,0.009
"W1","SAEC",5163,0.1437,0.1017,0.0349,0.0311,0.0404,0.0449,0.0816,0.0836,0.0401,0.0208,0.0147,0.0158
"W1","SAEC",5164,0.0413,0.0943,0.0163,0.0441,0.0735,0.0131,0.067,0.0926,0.0152,0.0243,0.049,0.0192
"W1","SAEC",5165,0.0317,0.0228,0.0114,0.0219,0.0238,0.0146,0.0327,0.0322,0.0239,0.1669,0.1052,0.0807
"W1","SAEC",5166,0.0386,0.0406,0.0119,0.0303,0.0446,0.0191,0.0526,0.052,0.0243,0.1325,0.046,0.0868
